N,P,K,pH,EC,OC,B,Zn,Fe,Mn,Cu,S,Crop
129,46,271,7.12,0.9,0.32,0.57,1.85,6.74,32.42,33.06,22,Rice
139,50,282,7.74,0.26,0.3,2,1.41,13.33,31.6,31.1,20,Rice
171,31,560,7.42,0.4,0.39,1.57,1.42,5.04,11.14,25.48,24,Rice
88,73,368,8.53,0.09,0.85,2.28,0.434,21.34,6.69,21.34,11,Cotton
163,31,516,8.66,0.31,0.36,5.67,0.34,0.36,6.06,18.56,74,Rice
113,40,313,7.45,0.52,0.31,0.82,3.1,1.37,6.79,13.33,33,Rice
160,54,605,8.44,0.55,0.44,0.81,8.07,4.58,16.14,12.93,34,Rice
161,11,700,8.35,0.44,0.79,0.27,2.25,8.86,25,12.6,54,Jawar
172,51,381,8.06,0.31,0.69,0.86,3.06,3.13,7.79,12.51,24,Rice
113,112,102,8.68,0.75,0.27,4.56,0.424,12.21,4.94,12.21,30,Rice
119,15,367,7.31,0.18,0.34,0.94,7.39,4.97,26.88,11.94,24,Jawar
121,18,313,8.21,0.34,0.31,0.86,8.75,5.06,26.08,11.87,19,Jawar
168,40,660,7.59,0.46,0.29,0.65,1.45,0.62,1.97,11.81,14,Jawar
116,33,571,8.31,0.3,0.29,0.81,2.5,13.15,23.18,11.78,15,Jawar
142,36,360,7.39,0.16,0.69,0.92,2.87,2.96,5.86,11.77,29,Jawar
146,29,605,8.17,0.19,0.34,0.74,7.12,5.16,26.4,11.34,14,Jawar
38,12,445,8.69,0.14,0.48,6.84,0.442,11.31,7.884,11.31,8,Cotton
152,29,299,7.58,0.31,0.41,0.78,1.78,17.1,6.17,11.26,38,Jawar
106,15,340,7.39,0.41,0.72,0.92,5.84,1.1,5.83,11.18,24,Jawar
150,103,144,8.83,0.23,0.14,2.88,2.13,3.746,6.146,11.17,96,Cotton
108,33,598,8.17,0.23,0.34,0.68,2.63,6.28,25.14,11.1,43,Jawar
135,47,415,7.59,0.19,0.32,0.86,2.39,2.2,5.74,11.09,24,Jawar
154,18,673,7.46,0.32,0.32,0.49,7.36,4.36,27.36,10.98,52,Jawar
278,26,463,7.59,0.11,0.61,5.13,1.45,7.52,8.98,10.94,27,Jawar
169,15,272,8.09,0.24,0.41,0.72,2.93,4.88,21.22,10.86,38,Jawar
186,25,356,8.16,0.12,0.41,0.86,1.87,18.02,10.41,10.74,19,Jawar
113,31,81,8.45,0.11,0.23,4.56,0.398,10.67,6.024,10.67,23,Cotton
106,36,360,7.58,0.09,0.41,0.78,1.7,2.56,5.52,10.64,19,Jawar
98,33,320,8.11,0.19,0.31,1.07,2.32,2.79,12.29,10.64,14,Cotton
130,15,354,7.5,0.62,0.3,0.96,2.44,0.34,22.2,10.6,43,Jawar
102,22,680,7.08,0.274,0.4,1.6,2.58,8.89,23.68,10.57,19,Jawar
156,109,17,6.41,0.1,0.68,1.57,2,2.056,6.16,10.53,71,Cotton
135,40,292,7.48,0.19,0.29,0.71,2.75,5.06,26.64,10.5,29,Jawar
167,42,552,8.52,0.94,0.35,1.62,0.84,1.94,9.71,10.5,24,Jawar
228,29,476,7.98,0.45,0.88,5.16,0.72,9.75,9.58,10.42,58,Jawar
140,29,632,7.4,0.51,0.27,0.84,3.62,0.27,21.5,10.4,57,Jawar
174,29,340,7.46,0.18,0.32,0.69,2.14,3.94,19.4,10.38,35,Jawar
168,18,551,7.41,0.17,0.71,0.94,2.36,3.52,10.28,10.38,29,Jawar
117,44,354,7.35,0.11,0.32,0.69,1.6,0.89,6.64,10.38,14,Jawar
154,45,438,7.32,0.41,0.26,1.26,0.71,0.71,2.18,10.26,29,Jawar
165,12,420,8.48,0.78,0.61,4.05,0.27,3.75,6.13,10.25,24,Jawar
189,51,604,7.52,0.43,0.41,2.1,0.21,1.6,2.36,10.24,78,Jawar
146,33,700,8.5,0.6,0.36,1.63,2.76,4.41,68.1,10.2,64,Jawar
140,44,680,8.31,0.31,0.51,0.7,5.92,0,22,10.2,24,Jawar
218,26,108,8.35,0.95,0.67,3.86,0.29,2.61,11.56,10.15,29,Jawar
137,18,354,7.09,0.38,0.31,0.78,2.11,1.04,7.64,10.14,24,Jawar
37,65,286,7.15,0.59,0.26,1.174,0.19,6.138,4.118,10.11,73,Cotton
139,51,660,8.18,0.16,0.34,0.86,1.84,3.47,4.55,10.02,24,Jawar
124,36,626,8.17,0.12,0.41,0.72,1.84,2.49,5.48,10.02,19,Jawar
100,100,546,7.86,0.25,0.26,9.5,0.65,7.252,16.13,9.976,42,Cotton
119,33,456,8.17,0.14,0.33,0.59,5.62,3.51,10.93,9.97,48,Jawar
156,40,558,8.16,0.25,0.33,0.86,3.17,1.5,13.42,9.89,43,Jawar
141,18,286,8.16,0.17,0.32,0.72,0.82,21.18,7.66,9.89,29,Jawar
149,15,347,7.41,0.31,0.32,0.92,3.26,1.83,17.83,9.77,48,Jawar
172,40,449,8.16,0.54,0.31,0.91,0.66,1.66,6,9.73,14,Jawar
164,47,605,7.31,0.27,0.71,0.58,5.13,4.46,26.12,9.65,48,Jawar
75,31,431,7.92,0.16,0.47,6.84,0.478,9.508,5.274,9.508,15,Cotton
142,69,680,8.06,0.34,0.32,0.91,1.43,19.43,6,9.5,33,Jawar
141,51,626,8.06,0.14,0.69,0.86,1.85,10.49,6.65,9.5,29,Jawar
151,58,469,8.16,0.29,0.41,0.86,1.57,5.62,7.59,9.39,38,Jawar
139,29,612,7.59,0.31,0.35,0.94,2.15,3.16,6.98,9.27,38,Jawar
194,29,66,7.09,0.09,0.41,0.69,3.47,3.14,13.26,9.17,33,Jawar
29,23,296,7.73,0.63,0.19,2.165,0.32,5.132,4.236,9.162,78,Cotton
45,70,272,8.12,0.72,0.31,2.165,0.48,15.23,7.118,9.136,75,Cotton
95,42,278,7.71,0.69,0.74,0.5,0.72,15.62,10.112,9.115,92,Cotton
103,29,228,7.35,0.48,0.19,0.199,0.21,15.29,10.118,9.11,45,Jawar
150,88,114,6.67,0.09,0.09,1.7,1.896,4.338,3.162,9.036,74,Cotton
112,62,639,7.69,0.23,0.34,0.58,1.75,2.63,6.95,8.99,24,Jawar
146,44,414,7.91,0.47,0.36,0.63,19,4.05,6.28,8.76,42,Jawar
163,8,130,8.58,0.19,0.47,4.56,0.38,8.608,7.024,8.608,26,Jawar
173,54,372,7.24,0.22,0.44,2.16,0.72,4.26,8.96,8.56,58,Jawar
34.5,100,246,6.72,0.45,0.3,1.9,3.546,13.23,8.466,8.398,118,Cotton
122.3,119,288,7.48,0.54,0.48,1.96,3.95,11.46,10,8.362,42,Jawar
